"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","0:00","5.243","34.444",,
"124","2019-08-06","12:43:19","0:10","6.126",,,
"124","2019-08-06","12:43:19","0:20","6.888",,,
"124","2019-08-06","12:43:19","0:30","6.614","33.889",,
"124","2019-08-06","12:43:19","0:40","7.041",,,
"124","2019-08-06","12:43:19","0:50","7.163",,,
"124","2019-08-06","12:43:19","1:00","7.772",,,
"124","2019-08-06","12:43:19","1:10","8.9","33.333",,
"124","2019-08-06","12:43:19","1:20","9.784",,,
"124","2019-08-06","12:43:19","1:30","10.272",,,
"124","2019-08-06","12:43:19","1:40","10.394","32.778",,
"124","2019-08-06","12:43:19","1:50","11.034",,,
"124","2019-08-06","12:43:19","2:00","11.064",,,
"124","2019-08-06","12:43:19","2:10","10.881","32.222",,
"124","2019-08-06","12:43:19","2:20","11.217",,,
"124","2019-08-06","12:43:19","2:30","10.881",,,
"124","2019-08-06","12:43:19","2:40","10.759",,,
"124","2019-08-06","12:43:19","2:50","10.82","31.667",,
"124","2019-08-06","12:43:19","3:00","11.369",,,
"124","2019-08-06","12:43:19","3:10","11.887",,,
"124","2019-08-06","12:43:19","3:20","12.101",,,
"124","2019-08-06","12:43:19","3:30","12.558","31.111",,
"124","2019-08-06","12:43:19","3:40","12.771",,,
"124","2019-08-06","12:43:19","3:50","13.777",,,
"124","2019-08-06","12:43:19","4:00","14.356",,,
"124","2019-08-06","12:43:19","4:10","15.27","30.556",,
"124","2019-08-06","12:43:19","4:20","15.88",,,
"124","2019-08-06","12:43:19","4:30","16.886",,,
"124","2019-08-06","12:43:19","4:40","17.678",,,
"124","2019-08-06","12:43:19","4:50","18.44",,,
"124","2019-08-06","12:43:19","5:00","20.025",,,
"124","2019-08-06","12:43:19","5:10","21.58","30.0",,
"124","2019-08-06","12:43:19","5:20","23.348",,,
"124","2019-08-06","12:43:19","5:30","24.354",,,
"124","2019-08-06","12:43:19","5:40","26.03",,,
"124","2019-08-06","12:43:19","5:50","26.914",,,
"124","2019-08-06","12:43:19","6:00","28.011","29.444",,
"124","2019-08-06","12:43:19","6:10","29.505",,,
"124","2019-08-06","12:43:19","6:20","31.242",,,
"124","2019-08-06","12:43:19","6:30","33.467",,,
"124","2019-08-06","12:43:19","6:40","35.418",,,
"124","2019-08-06","12:43:19","6:50","35.784","28.889",,
"124","2019-08-06","12:43:19","7:00","35.601",,,
"124","2019-08-06","12:43:19","7:10","35.936",,,
"124","2019-08-06","12:43:19","7:20","36.789",,,
"124","2019-08-06","12:43:19","7:30","37.064",,,
"124","2019-08-06","12:43:19","7:40","37.734",,,
"124","2019-08-06","12:43:19","7:50","38.191","28.333",,
"124","2019-08-06","12:43:19","8:00","38.618",,,
"124","2019-08-06","12:43:19","8:10","38.832",,,
"124","2019-08-06","12:43:19","8:20","39.289",,,
"124","2019-08-06","12:43:19","8:30","39.776",,,
"124","2019-08-06","12:43:19","8:40","40.02",,,
"124","2019-08-06","12:43:19","8:50","40.569",,,
"124","2019-08-06","12:43:19","9:00","40.996",,,
"124","2019-08-06","12:43:19","9:10","41.575",,,
"124","2019-08-06","12:43:19","9:20","42.062","27.778",,
"124","2019-08-06","12:43:19","9:30","42.428",,,
