OTU	BMSP001	B004	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP008	BMSP010	BMSP014	BMSP017	BMSP018	BMSP019	BMSP021	BMSP022	BMSP024	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP034	BMSP035	BMSP036	BMSP037
Zotu1	0	1	2	0	0	0	0	0	0	0	3809	0	27615	0	2080	0	5	3	59746	7	0	3	0	2	73917	50515
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	1	42614	5696	0	1	2	0	0	0	2	0	0	0	0
Zotu11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44820	0	0	0	0	0	0	0	0	0	0	0
Zotu12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68691	0	0	0
Zotu13	0	0	0	0	0	44005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14	0	0	0	0	0	0	0	0	0	0	0	0	38	3	33711	0	0	14377	171	0	0	6	0	0	0	0
Zotu15	0	0	0	1	1	0	0	0	0	40013	0	0	1	0	0	0	7	0	1	0	0	0	1	0	0	0
Zotu16	0	0	0	0	0	0	0	0	0	0	36784	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	35121	0	1	0	1	0	0	0	0	0
Zotu18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33553	0	0	0	0	0	0	0	0
Zotu19	0	0	0	0	12	0	0	30997	0	0	0	0	0	0	0	0	0	0	6484	1	0	0	0	0	0	0
Zotu2	45794	0	0	0	0	0	0	0	0	0	1	109860	0	0	0	0	114	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	33191	0	0	0	0	0	0	0	0
Zotu21	0	0	0	0	0	0	0	30	0	33431	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu22	0	0	0	0	3	0	0	31999	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	0
Zotu23	28176	0	0	0	0	0	0	2997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	0	0	0	0	0	0	0	0	0	0	45896	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0
Zotu25	0	0	0	0	2	0	0	1625	0	0	0	0	0	0	0	21125	0	4151	0	0	0	0	0	0	0	0
Zotu26	0	0	0	0	1	34555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27825	0	0
Zotu28	0	0	0	0	4	0	0	0	1	0	17	0	0	5	0	0	22808	136	1	0	0	0	11	1	1	3
Zotu29	0	0	0	0	0	0	0	0	0	0	0	0	21503	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3	13444	0	0	94412	53156	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16104	0	0	0	0	0
Zotu32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14298	0	0	0	0	0	0	0	0	0	0
Zotu33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11532	0	0	0	0	0	0	0
Zotu34	0	0	0	0	0	0	0	10650	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Zotu37	0	0	0	0	0	0	0	9409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu38	0	0	0	0	0	0	0	6994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1609	0	1	0	4415	1	0	0	0	0	0	0
Zotu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9166	0	0	0	0	0	124904	0	0	0	0	0
Zotu40	0	0	0	2	0	6506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5197	0	0	0	0	0	0	0	0	0	0
Zotu42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4538	0	0	0	0	0	0	0	0
Zotu43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842	0	0	0	0	0	0	0	0	0	0
Zotu44	0	0	0	0	0	0	0	146	0	0	0	1	0	1	0	1620	597	161	0	0	0	0	0	0	0	0
Zotu45	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	0	0	0
Zotu46	0	0	0	0	0	0	0	1678	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
Zotu47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1556	0	0	0	0	0	0	0	0
Zotu49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6709	0
Zotu5	0	0	0	0	32	0	0	0	0	0	13	1	1	45709	0	0	8010	19299	0	0	1	3	28	46845	1	0
Zotu50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	0	0	0	0	0	2	2	0	0	0	0
Zotu52	0	0	1	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu54	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	0	0
Zotu56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0
Zotu58	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	277	0	0	0
Zotu6	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	8	3	4463	0	3	101342	0	0	0	0
Zotu60	0	0	0	0	0	204	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu64	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1340	0	0	0	0	0	0	0	0	0	0	0
Zotu7	0	0	0	0	7966	0	93074	2	0	0	0	0	0	0	0	0	0	0	18283	2	0	0	0	0	0	0
Zotu8	0	0	2	3	21681	0	0	0	1	0	9080	0	0	26	0	0	32062	8353	0	0	3	1	27621	22	7	0
Zotu87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	0	0	0	0	0	0	0	21558	0	73643	0	898	0	42	0	0	0	0	0	0	0	0	0
Zotu93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
