domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	BMSP001	B004	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP008	BMSP010	BMSP014	BMSP017	BMSP018	BMSP019	BMSP021	BMSP022	BMSP024	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP034	BMSP035	BMSP036	BMSP037
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus thompsoni	Zotu1	LCA	1	0	1	2	0	0	0	0	0	0	0	3809	0	27615	0	2080	0	5	3	59746	7	0	3	0	2	73917	50515
Eukaryota	Metazoa	Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	dropped	Zotu2	LCA	3	45794	0	0	0	0	0	0	0	0	0	1	109860	0	0	0	0	114	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigroris	Zotu3	LCA	1	13444	0	0	94412	53156	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	dropped	Zotu4	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9166	0	0	0	0	0	124904	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus leucopareius	Zotu5	LCA	1	0	0	0	0	32	0	0	0	0	0	13	1	1	45709	0	0	8010	19299	0	0	1	3	28	46845	1	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	dropped	dropped	Zotu6	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	8	3	4463	0	3	101342	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Scarus	dropped	Zotu7	LCA	7	0	0	0	0	7966	0	93074	2	0	0	0	0	0	0	0	0	0	0	18283	2	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus leucopareius	Zotu8	LCA	1	0	0	2	3	21681	0	0	0	1	0	9080	0	0	26	0	0	32062	8353	0	0	3	1	27621	22	7	0
Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus psittacus	Zotu9	LCA	1	0	0	0	0	0	0	0	0	0	0	21558	0	73643	0	898	0	42	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus triostegus	Zotu10	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	42614	5696	0	1	2	0	0	0	2	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres	dropped	Zotu11	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44820	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Engraulidae	dropped	dropped	Zotu12	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68691	0	0	0
