OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu1	0	1	0	0	99	0	436	132	15321	4096	855	25540	0	520	172	0	34	6283	15886	0	83	0	421	1117	18484	16537	348	313	1	48	4840	9442	14824	28628	0	0	141	1433	16722	30003	5
Zotu10	0	0	0	0	0	1	0	188	14350	90	5260	658	0	1	123	0	0	17	19917	0	0	0	0	0	0	0	0	7945	0	0	0	0	0	0	0	0	970	925	1998	0	0
Zotu100	0	0	0	0	597	1	698	690	810	299	121	997	0	2380	961	137	794	697	1676	0	1641	0	277	831	522	887	1528	2729	847	118	1003	1022	486	686	956	0	1107	1485	1267	884	0
Zotu1000	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	12	2	0	0	0	0	57	0	0	0	0	0	0	0	4	5	0	5	0
Zotu1001	0	0	0	0	0	0	0	63	0	0	0	0	0	34	0	0	0	5	16	0	15	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	1	0	0	0
Zotu1002	0	0	0	0	16	0	0	0	0	0	0	0	0	5	0	0	0	0	109	0	0	31	0	5	0	0	1	0	0	22	0	0	0	0	8	0	5	0	0	0	0
Zotu1003	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	4	0	8	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1007	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	3	0	0	0	0	5	6	0	0	32	46	32	3	0	0	0	0	0	0	3	1	0	1	0
Zotu101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	54	2476	1	0	0	0	0	0	6	0	86	225	0	0	0	0	0	0	0	0	17	116	0	0
Zotu1011	0	0	0	0	9	0	0	0	0	0	0	0	0	14	0	0	0	4	2	0	39	0	0	0	0	0	1	58	0	5	0	5	0	0	0	0	8	11	0	0	0
Zotu1014	0	0	0	0	0	0	0	0	0	7	0	4	0	5	15	0	0	3	0	0	8	14	0	0	0	0	37	9	0	2	0	0	13	0	0	0	11	5	0	0	0
Zotu1017	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu102	0	0	0	0	8	0	0	3	7	24	0	9	0	0	0	0	8	187	181	0	2	0	21	59	1	11	10	56	22	5	950	1720	18	83	0	0	0	7	0	4	0
Zotu1021	0	0	0	0	0	0	0	33	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	9	0	35	3	0	0	0	3	0	0	0
Zotu1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0
Zotu1027	0	0	0	0	0	0	0	0	5	0	0	35	0	13	0	0	0	13	22	0	32	3	0	1	3	0	0	4	0	5	0	11	0	3	0	0	5	24	0	15	0
Zotu1028	0	0	0	0	10	0	0	0	0	0	0	0	0	30	0	0	0	5	0	0	33	0	14	0	0	0	0	12	15	5	0	0	0	0	0	0	20	8	0	0	0
Zotu103	0	0	0	0	140	13	0	79	11	23	0	90	0	622	509	4	442	73	5	0	492	146	0	0	0	0	3	160	49	2	0	3	0	0	218	0	406	32	0	0	0
Zotu1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	29	38	0	2	0	27	2	14	0	0	2	6	0	0	0
Zotu1034	0	0	0	0	5	0	0	6	5	2	0	1	0	25	6	0	0	10	0	0	0	6	12	2	0	0	0	16	0	5	2	6	5	30	0	0	3	3	0	3	0
Zotu1035	0	0	0	0	13	0	0	0	0	0	0	0	0	24	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	29	0	10	0	0	0	0
Zotu1039	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	2	0	0	50	0	0	0	0	0	11	0	0	2	0	0	0	0	35	0	0	6	0	0	0
Zotu104	0	0	0	0	0	0	0	81	0	0	0	0	0	671	202	0	0	0	0	0	833	61	0	0	0	0	0	0	66	26	0	146	0	0	5	0	473	43	0	0	0
Zotu1040	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	14	0	0	6	0	0	0	27	0	4	0	0	0	88	0	0	0	13	0	0	0
Zotu1043	0	0	0	0	9	0	44	3	0	10	0	17	0	4	0	0	0	5	1	0	30	0	0	0	0	0	0	1	0	0	2	5	0	1	0	0	13	2	0	0	0
Zotu1045	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	30	0	0	23	16	10	0	0	0	5	17	11	0
Zotu1050	0	0	0	0	0	0	0	36	0	0	0	0	0	8	0	0	0	5	0	0	4	0	0	0	0	0	23	55	0	0	0	0	3	0	0	0	2	0	0	0	0
Zotu1051	0	0	0	0	0	0	0	0	0	0	0	0	0	4	84	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	3	0	0	0	0	0	5	0	0	0	0
Zotu1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
