representative,taxID,id_method,taxon,rank,score,kingdom,phylum,class,order,family,genus,species,path,scores,reason,NNtaxID,NNtaxon,NNrank,NNdistance
Zotu1,38832,insect,Micromonas,genus,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,,NA,NA,-1,38833,Micromonas pusilla,species,0.0108
Zotu2,44169,insect,Antipathidae,family,NA,Metazoa,Cnidaria,Anthozoa,Antipatharia,Antipathidae,,,NA,NA,-1,44169,Antipathidae,family,0
Zotu3,119367,insect,Neocalanus,genus,NA,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,,NA,NA,-1,119369,Neocalanus flemingeri,species,0.0187
Zotu4,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121222,dddddddddd,3,119369,Neocalanus flemingeri,species,0.0211
Zotu5,5502,insect,Curvularia,genus,NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,,NA,NA,-1,5502,Curvularia,genus,0
Zotu6,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,ddddddddddddddddd,3,51240,Juglans regia,species,0.1125
Zotu7,6072,insect,Eumetazoa,clade,0.9929,Metazoa,,,,,,,212212121,ddddddddc,2,1109190,Astericola clausii,species,0.0482
Zotu8,2759,insect,Eukaryota,superkingdom,NA,,,,,,,,NA,NA,-1,2759,Eukaryota,superkingdom,0
Zotu9,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,ddddddddddddddddd,3,880245,Versuriga anadyomene,species,0.0903
Zotu10,131567,insect,cellular organisms,no rank,0.9654,,,,,,,,212212122,dddddddda,2,1109190,Astericola clausii,species,0.0567
Zotu11,330909,insect,Nodipecten subnodosus,species,NA,Metazoa,Mollusca,Bivalvia,Pectinida,Pectinidae,Nodipecten,Nodipecten subnodosus,NA,NA,-1,330909,Nodipecten subnodosus,species,0
Zotu12,155619,insect,Agaricomycetes,class,NA,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,-1,184115,Cyathus bulleri,species,0.014
Zotu13,6833,insect,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,,21221212222,ddddddddddd,2,119369,Neocalanus flemingeri,species,0.0385
Zotu14,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddddddddddcdd,3,1132513,Euduboscquella crenulata,species,0.0967
Zotu15,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddbdddddd,2,393032,Ichthyodinium chabelardi,species,0.083
Zotu16,33154,insect,Opisthokonta,clade,NA,,,,,,,,NA,NA,-1,33154,Opisthokonta,clade,0
Zotu17,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121222,dddddddddd,2,248751,Subeucalanus pileatus,species,0.0492
Zotu18,1,insect,root,no rank,0.9619,,,,,,,,1,`,2,84307,Derocheilocaris typicus,species,0.144
Zotu19,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,5303,Polyporales,order,0.0053
Zotu20,46719,insect,Porites,genus,NA,Metazoa,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,,NA,NA,-1,46719,Porites,genus,0
Zotu21,326628,insect,Annulohypoxylon stygium,species,NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon stygium,NA,NA,-1,326628,Annulohypoxylon stygium,species,0
Zotu22,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21122E+12,dddFddddddddd,2,2856,Cylindrotheca closterium,species,0.0724
Zotu23,6072,insect,Eumetazoa,clade,1,Metazoa,,,,,,,212212121,ddddddddd,2,1109205,Lichomolgus marginatus,species,0.0443
Zotu24,119367,insect,Neocalanus,genus,NA,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,,NA,NA,-1,119369,Neocalanus flemingeri,species,0.0187
Zotu25,6072,insect,Eumetazoa,clade,0.9996,Metazoa,,,,,,,212212121,ddddddddd,2,1109190,Astericola clausii,species,0.0455
Zotu26,38832,insect,Micromonas,genus,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,,NA,NA,-1,38833,Micromonas pusilla,species,0.0028
Zotu27,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121222,dddddddddd,3,119369,Neocalanus flemingeri,species,0.0268
Zotu28,41953,insect,Pseudo-nitzschia,genus,NA,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,NA,NA,-1,41953,Pseudo-nitzschia,genus,0
Zotu29,1,insect,root,no rank,1,,,,,,,,,,3,95602,Eriocheir sinensis,species,0.1182
Zotu30,1437201,insect,Pentapetalae,clade,0.9975,Viridiplantae,Streptophyta,Magnoliopsida,,,,,12222,ddddd,2,219849,Stemonitis fusca,species,0.7498
Zotu31,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddddddddddcdd,3,1132513,Euduboscquella crenulata,species,0.088
Zotu32,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+18,ddddddddddddddddddd,2,90923,Atriofronta polyvacuola,species,0.0637
Zotu33,38832,insect,Micromonas,genus,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,,NA,NA,-1,38833,Micromonas pusilla,species,0.0077
Zotu34,119367,insect,Neocalanus,genus,NA,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,,NA,NA,-1,119369,Neocalanus flemingeri,species,0.0167
Zotu35,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,ddddddddddddddddd,3,1037576,Acytostelium amazonicum,species,0.1189
Zotu36,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,79343,Ellisia nyctelea,species,0.0027
Zotu37,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121222,dddddddddd,2,248751,Subeucalanus pileatus,species,0.0492
Zotu38,1109203,insect,Lichomolgus,genus,NA,Metazoa,Arthropoda,Hexanauplia,Poecilostomatoida,Lichomolgidae,Lichomolgus,,NA,NA,-1,1109205,Lichomolgus marginatus,species,0.0084
Zotu39,6102,insect,Hexacorallia,subclass,NA,Metazoa,Cnidaria,Anthozoa,,,,,NA,NA,-1,44169,Antipathidae,family,0.0053
Zotu40,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+20,ddddddddddLdddddcdddd,2,90924,Anaperus tvaerminnensis,species,0.1112
Zotu41,41873,insect,Mamiellaceae,family,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,,,NA,NA,-1,38833,Micromonas pusilla,species,0.0073
Zotu42,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddddddddd,2,393032,Ichthyodinium chabelardi,species,0.082
Zotu43,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2122121221,dddddddddd,2,298490,Entomolepidae sp. New Caledonia-RJH-2004,species,0.0624
Zotu44,412158,insect,Chrysochromulina simplex,species,NA,,Haptophyta,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina simplex,NA,NA,-1,412158,Chrysochromulina simplex,species,0
Zotu45,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,ddddd]ddddddddddd,3,2957,Protodinium simplex,species,0.0956
Zotu46,119367,insect,Neocalanus,genus,NA,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,,NA,NA,-1,119369,Neocalanus flemingeri,species,0.0174
Zotu47,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2122121221,dddddddddd,2,298490,Entomolepidae sp. New Caledonia-RJH-2004,species,0.063
Zotu48,1,insect,root,no rank,1,,,,,,,,,,3,27935,Symbiodinium corculorum,species,0.0993
Zotu49,1,insect,root,no rank,1,,,,,,,,22121,ddddd,3,1286872,Sinophysis stenosoma,species,0.1058
Zotu50,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddcdddddd,2,393032,Ichthyodinium chabelardi,species,0.079
Zotu51,6833,insect,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,,21221212222,ddddddddddd,2,119369,Neocalanus flemingeri,species,0.0304
Zotu52,33846,insect,Thalassiosirophycidae,subclass,NA,,Bacillariophyta,Coscinodiscophyceae,,,,,NA,NA,-1,33846,Thalassiosirophycidae,subclass,0
Zotu53,41875,insect,Bathycoccus prasinos,species,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,NA,NA,-1,41875,Bathycoccus prasinos,species,0
Zotu54,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.12212E+18,ddddddddddddddddddd,2,1881884,Bathochordaeus charon,species,0.0382
Zotu55,3041,insect,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,,2.22112E+17,dddddddddddddddddd,3,471943,Pyramimonas gelidicola,species,0.0408
Zotu56,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddd`ddddddddd,3,1132513,Euduboscquella crenulata,species,0.0874
Zotu57,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+21,dddddddddddddddddddddd,2,3161,Tetraselmis subcordiformis,species,0.1294
Zotu58,6072,insect,Eumetazoa,clade,1,Metazoa,,,,,,,212212121,ddddddddd,2,1109204,Lichomolgus canui,species,0.0412
Zotu59,6102,insect,Hexacorallia,subclass,NA,Metazoa,Cnidaria,Anthozoa,,,,,NA,NA,-1,6125,Scleractinia,order,0.0023
Zotu60,5989,insect,Haptorida,order,NA,,Ciliophora,Litostomatea,Haptorida,,,,NA,NA,-1,2049014,Paraenchelys terricola,species,0.0128
Zotu61,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,131567,cellular organisms,no rank,0
Zotu62,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddddddddd,2,393032,Ichthyodinium chabelardi,species,0.0763
Zotu63,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddddddddddXdd,3,1132513,Euduboscquella crenulata,species,0.0836
Zotu64,33630,insect,Alveolata,clade,1,,,,,,,,2.21211E+13,ddddddddddPddd,2,2294178,Corallicola aquarius,species,0.0982
Zotu65,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+22,ddddddddddddddddddddddd,2,2058189,Heterostelium,genus,0.1178
Zotu66,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddddddddddddd,3,1132513,Euduboscquella crenulata,species,0.0795
Zotu67,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddddddddd,2,407301,Karlodinium veneficum,species,0.0883
Zotu68,6341,insect,Polychaeta,class,1,Metazoa,Annelida,Polychaeta,,,,,2.12211E+15,dddddddddddddddd,2,195228,Dasybranchus caducus,species,0.0248
Zotu69,35140,insect,Chrysochromulina,genus,NA,,Haptophyta,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,,NA,NA,-1,2555874,Chrysochromulina andersonii,species,0.0113
Zotu70,1132512,insect,Euduboscquella,genus,1,,,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,,2.21211E+17,dddddddddddddddddd,2,46947,Geminigera cryophila,species,0.0386
Zotu71,6072,insect,Eumetazoa,clade,1,Metazoa,,,,,,,212212121,ddddddddd,2,1109205,Lichomolgus marginatus,species,0.0338
Zotu72,3027,insect,Cryptophyceae,class,1,,,Cryptophyceae,,,,,2.22112E+12,ddddddddddddd,2,46947,Geminigera cryophila,species,0.0279
Zotu73,70448,insect,Ostreococcus tauri,species,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus tauri,NA,NA,-1,70448,Ostreococcus tauri,species,0
Zotu74,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,5353,Lentinula edodes,species,0.0033
Zotu75,1,insect,root,no rank,1,,,,,,,,22121,ddddd,3,1225972,Blastodinium oviforme,species,0.1161
Zotu76,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,ddddd5ddddddddddd,3,1072566,Klossia helicina,species,0.0896
Zotu77,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,ddddddddddddd,3,1132513,Euduboscquella crenulata,species,0.0798
Zotu78,13608,insect,Mantoniella squamata,species,NA,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mantoniella,Mantoniella squamata,NA,NA,-1,13608,Mantoniella squamata,species,0
Zotu79,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,292559,Lentinus polychrous,species,0.0114
Zotu80,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddddddddd,2,77300,Margalefidinium polykrikoides,species,0.0784
Zotu81,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,292559,Lentinus polychrous,species,0.0027
Zotu82,1437201,insect,Pentapetalae,clade,0.9982,Viridiplantae,Streptophyta,Magnoliopsida,,,,,12222,dXddd,2,219849,Stemonitis fusca,species,0.9514
Zotu83,6833,insect,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,,21221212222,ddddddddddd,2,119369,Neocalanus flemingeri,species,0.0425
Zotu84,6978,insect,Periplaneta americana,species,NA,Metazoa,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,NA,NA,-1,6978,Periplaneta americana,species,0
Zotu85,1,insect,root,no rank,1,,,,,,,,22121,ddddd,3,27940,Gloeodinium viscum,species,0.0922
Zotu86,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,dddddZddddddddddd,3,27940,Gloeodinium viscum,species,0.0895
Zotu87,66801,insect,Gymnodiniaceae,family,0.9385,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,,,2.21211E+14,dddddddddddddd^,2,66470,Lepidodinium,genus,0.0221
Zotu88,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121,ddddddd,2,2018306,Paraustrorhynchus neleae,species,0.1042
Zotu89,131567,insect,cellular organisms,no rank,NA,,,,,,,,NA,NA,-1,131567,cellular organisms,no rank,0.0047
Zotu90,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+12,dddcddddddcdd,3,230745,Selenidium terebellae,species,0.0807
Zotu91,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+22,ddddddddddbdddddddddddd,2,931200,Penetretus temporalis,species,0.115
Zotu92,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+16,3dddddddddddddddd,3,84307,Derocheilocaris typicus,species,0.142
Zotu93,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.21212E+21,ddddddddddddddddddddbd,3,70448,Ostreococcus tauri,species,0.0879
Zotu94,2759,insect,Eukaryota,superkingdom,1,,,,,,,,2.12211E+12,ddddddddddddd,3,194193,Anobothrus gracilis,species,0.0754
Zotu95,58024,insect,Spermatophyta,clade,0.8883,Viridiplantae,Streptophyta,,,,,,1122,dddY,3,119758,Ostreopsis cf. ovata,species,0.1554
Zotu96,131567,insect,cellular organisms,no rank,1,,,,,,,,2122121,ddddddd,2,2018306,Paraustrorhynchus neleae,species,0.1049
Zotu97,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+16,ddddddddddddddddd,2,393032,Ichthyodinium chabelardi,species,0.0884
Zotu98,2864,insect,Dinophyceae,class,1,,,Dinophyceae,,,,,2.21211E+12,ddddddddddddd,2,409284,Paragymnodinium shiwhaense,species,0.0222
Zotu99,131567,insect,cellular organisms,no rank,1,,,,,,,,2211221,ddddddd,2,513292,Eutintinnus fraknoi,species,0.042
Zotu100,33634,insect,Stramenopiles,clade,1,,,,,,,,2.21221E+14,ddddddddddddddd,2,87105,Thraustochytrium multirudimentale,species,0.0498
