domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota	Metazoa	Cnidaria	Anthozoa	Antipatharia	dropped	dropped	dropped	Zotu2	LCA	10	0	0	0	0	19207	3475	2509	160	1269	9165	30	1099	0	1	0	0	0	99	21	0	0	0	4846	31720	90	92	174	121	511	39392	4518	1267	502	868	268	0	23	998	1723	135	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida			Calanoida sp. CP7	Zotu3	LCA	2	0	0	0	0	0	0	19297	0	0	615	0	0	0	1	44668	0	0	19370	109	0	0	0	0	0	25	0	9571	0	0	1	2315	0	0	4960	1190	0	1	9695	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu4	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35046	0	5263	442	5223	0	0	0	0	18916	0	0	0	0	0	1	8801	0	0
Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria solani	Zotu5	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0
Eukaryota	Fungi	Basidiomycota	Malasseziomycetes	dropped	dropped	dropped	dropped	Zotu8	LCA	5	0	0	0	40274	0	0	0	0	0	1	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Eukaryota			Cryptophyceae	Cyathomonadacea	Goniomonadaceae		uncultured Goniomonas sp.	Zotu9	LCA	1	0	0	0	0	0	3	2	0	0	0	0	6	0	3	0	0	0	1	1	0	0	29076	1	1	3	1	0	0	0	0	0	2	0	2	0	0	0	1	2	0	0
Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	dropped	Zotu11	LCA	7	219	55540	1	0	0	0	0	0	4	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0
Eukaryota	Fungi	Basidiomycota	dropped	dropped	dropped	dropped	dropped	Zotu12	LCA	9	3	0	0	30956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu13	LCA	3	0	0	0	0	0	1	15	20204	0	0	0	0	0	39	0	0	0	0	71	0	0	0	0	0	0	0	0	4	0	0	0	0	0	31	0	0	14099	145	0	0	0
Eukaryota	Fungi	Basidiomycota	Agaricomycetes	dropped	dropped	dropped	dropped	Zotu19	LCA	10	20002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	dropped	dropped	dropped	Zotu20	LCA	8	0	0	0	0	21115	206	0	0	0	135	0	1304	0	1	0	0	2	14	117	0	0	0	0	0	35	62	0	0	0	0	44	0	162	276	0	0	87	14	18	0	0
Eukaryota	Fungi	Ascomycota	Sordariomycetes	dropped	dropped	dropped	dropped	Zotu21	LCA	9	0	0	16463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea sp. DZMB524	Zotu23	LCA	2	0	0	0	0	0	19201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	Zotu25	LCA	2	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1126	0	0	0	0	0	0	7996	0	0	0	21	0	0	0	10837	2	0
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas bravo	Zotu26	LCA	3	0	0	0	0	4	708	18	42	1145	129	75	1687	0	54	21	0	0	788	1468	0	35	0	109	53	1372	1063	30	59	0	5	410	536	952	2607	0	0	82	132	1087	1756	0
Eukaryota		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	dropped	Zotu28	LCA	9	0	0	0	0	79	190	153	129	2393	1053	222	4258	0	135	103	0	710	522	903	0	1	2	174	362	1281	1595	81	30	278	17	257	644	441	515	0	0	45	313	1413	877	0
Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	dropped	dropped	dropped	dropped	Zotu36	LCA	10	0	11274	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	15	17	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Lichomolgidae	Lichomolgus	dropped	Zotu38	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12876	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Cnidaria	Anthozoa	dropped	dropped	dropped	dropped	Zotu39	LCA	10	0	0	0	0	2768	0	1101	263	70	301	24	265	0	1	0	0	0	0	0	0	0	0	1488	3495	6	11	6	123	1272	313	73	62	10	79	0	0	0	1797	294	49	0
Eukaryota		Haptophyta					Haptophyta environmental samples	Zotu44	LCA	3	0	0	0	0	37	0	0	1	382	206	48	454	0	79	1	0	3	192	610	0	2	0	75	140	1249	2110	151	93	94	2	166	663	951	3236	0	0	25	220	6000	4331	0
Eukaryota		Bacillariophyta	Coscinodiscophyceae	dropped	dropped	dropped	dropped	Zotu52	LCA	8	0	0	0	0	23	0	76	34	2384	349	417	1420	0	15	5	0	0	165	278	0	7	3	78	205	495	719	8	16	16	2	138	222	360	216	0	0	3	47	641	219	0
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	Zotu53	LCA	4	0	0	0	0	81	828	191	98	0	0	0	0	0	1422	468	0	0	15	0	0	1662	1	0	47	0	0	993	1166	43	14	0	0	0	0	3080	0	1625	67	0	0	0
Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	dropped	Zotu54	LCA	4	0	0	0	0	15	7730	0	0	0	153	0	0	0	186	29	0	0	9	0	0	34	5	2	0	0	17	63	459	120	18	0	19	4	0	395	0	127	3	0	1	0
Eukaryota	Viridiplantae	dropped	dropped	dropped	dropped	dropped	dropped	Zotu55	LCA	5	0	0	0	0	3	0	19	212	1490	304	49	1213	0	96	18	0	0	311	190	0	10	0	48	106	635	768	9	86	55	7	261	267	270	288	0	0	16	90	872	870	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea sp. DZMB524	Zotu58	LCA	2	0	0	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	414	0	0	0	0	0	6	0	0	0	0	0	0	775	0	5134	0	0	0	0	0	0	4	0
Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	dropped	dropped	dropped	Zotu59	LCA	8	0	0	0	0	7126	116	3	0	0	178	0	344	0	0	0	0	61	1	16	0	0	0	1	5	5	17	0	0	0	0	40	5	39	74	0	0	8	6	10	0	0
Eukaryota		Ciliophora	Litostomatea	Haptorida	dropped	dropped	dropped	Zotu60	LCA	4	5415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	dropped	Zotu61	LCA	4	0	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	26	0	0	0	0	0	6	1	0	0	0
Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Fritillariidae	Fritillaria	Fritillaria borealis sargassi	Zotu65	LCA	2	0	0	0	0	0	0	431	0	0	43	0	125	0	361	312	0	163	39	146	0	28	7	0	22	8	71	421	687	447	40	19	170	224	34	1347	0	144	650	181	23	0
