OTU,new_name,level,qualifier,qualifier_level
Zotu10,Eukaryota,domain,,
Zotu17,Eukaryota,domain,,
Zotu18,Eukaryota,domain,,
Zotu27,Eukaryota,domain,,
Zotu29,Calanoida,order,,
Zotu37,Eukaryota,domain,,
Zotu48,Dinophyceae,class,,
Zotu49,Eukaryota,domain,,
Zotu75,Dinophyceae,class,,
Zotu85,Eukaryota,domain,,
Zotu88,Hexanauplia,class,,
Zotu99,Spirotrichea,class,,
Zotu117,Eukaryota,domain,,
Zotu123,Eukaryota,domain,,
Zotu161,Eukaryota,domain,,
Zotu163,Eukaryota,domain,,
Zotu180,Eukaryota,domain,,
Zotu186,Eukaryota,domain,,
Zotu193,Eukaryota,domain,,
Zotu207,Eukaryota,domain,,
Zotu216,Eukaryota,domain,,
Zotu227,Poecilostomatoida,order,,
Zotu231,Eukaryota,domain,,
Zotu242,Eukaryota,domain,,
Zotu245,Eukaryota,domain,,
Zotu261,Dinophyceae,class,,
Zotu283,Eukaryota,domain,,
Zotu302,Eukaryota,domain,,
Zotu312,Eukaryota,domain,,
Zotu318,Eukaryota,domain,,
Zotu332,Eukaryota,domain,,
Zotu422,Eukaryota,domain,,
Zotu433,Eukaryota,domain,,
Zotu434,Eukaryota,domain,,
Zotu476,Dictyochophyceae,class,,
Zotu553,Eukaryota,domain,,
Zotu579,Eukaryota,domain,,
Zotu608,Eukaryota,domain,,
Zotu778,Eukaryota,domain,,
Zotu817,Eukaryota,domain,,
Zotu881,Eukaryota,domain,,
Zotu923,Tetractinellida,order,,
Zotu979,Eukaryota,domain,,
Zotu1045,Eukaryota,domain,,
Zotu1122,Eukaryota,domain,,
Zotu1196,Eukaryota,domain,,
Zotu1348,Eukaryota,domain,,
Zotu1459,Eukaryota,domain,,
Zotu1676,Phragmophora,order,,
Zotu1699,Eukaryota,domain,,
Zotu1738,Eukaryota,domain,,
Zotu1751,Eukaryota,domain,,
Zotu1760,Serpulidae,family,,
Zotu1847,Calanoida,order,,
Zotu2005,Eukaryota,domain,,
Zotu2078,Eukaryota,domain,,
Zotu2083,Eukaryota,domain,,
Zotu2149,Eukaryota,domain,,
Zotu2177,Eukaryota,domain,,
Zotu2452,Tetractinellida,order,,
Zotu2483,Thraustochytriaceae,family,,
Zotu2517,Eukaryota,domain,,
Zotu2715,Eukaryota,domain,,
Zotu2818,Eukaryota,domain,,
Zotu2827,Eukaryota,domain,,
Zotu2953,Fasciolariidae,family,,
Zotu3466,Eukaryota,domain,,
Zotu3491,Eukaryota,domain,,
Zotu3653,Eukaryota,domain,,
