OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu1	0	0	1399	0	992	1	4552	4841	0	813	0	4529	0	0	0	4669	2472	0	2946	0	3787	1107	581	4990	0	1310	2891	1167	2804	3186	2595	0	2657	0	4828	2757	17	3681	1684	0
Zotu10	0	0	0	0	0	0	1642	2623	0	1947	0	1471	1	0	0	2454	5687	0	2040	0	572	1394	877	3836	0	856	669	715	2514	1129	1755	2	1453	0	1	3020	929	1314	11	0
Zotu100	0	0	0	0	0	0	59	919	0	382	1	400	0	0	0	64	18	0	419	0	2	60	12	535	0	69	0	162	369	34	138	0	112	0	0	104	1041	0	326	0
Zotu1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	425	0	0	0	0	0	30	0	0	0	0	0	17	0	0	0	0	24	0	0	0	0	0	0	0
Zotu1001	0	0	0	0	28	0	2	1	0	0	0	59	0	0	0	0	0	0	30	17	6	39	16	31	0	35	11	14	3	7	0	0	2	0	91	7	0	41	0	0
Zotu1003	0	0	66	0	0	3	0	13	0	1	0	0	0	0	0	1	1	0	0	0	0	7	0	72	0	40	259	4	22	33	15	0	1	0	0	2	0	0	0	0
Zotu1004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	135	0	0	0	0
Zotu1005	0	0	1	0	0	13	40	45	0	0	0	5	0	0	0	2	0	0	2	29	0	89	32	37	0	12	2	17	6	18	21	44	20	0	0	22	16	29	83	0
Zotu1006	0	0	32	1	0	3	3	8	0	3	0	3	0	0	0	0	0	0	26	1	2	81	85	56	1	29	0	82	4	16	42	0	7	0	6	3	57	0	1	0
Zotu1007	0	0	0	0	376	5	72	3	0	5	0	13	0	0	1	4	6	0	1	0	1	20	4	0	0	3	2	1	43	3	7	1	1	0	0	0	2	3	3	0
Zotu1008	0	0	0	0	0	0	0	1	0	0	0	55	0	0	7	15	0	0	140	35	0	3	0	13	0	70	0	73	0	1	8	1	2	0	0	72	0	0	0	0
Zotu1009	0	0	1	0	1	12	5	0	0	0	0	16	3	0	8	3	1	0	1	17	20	32	3	16	0	13	0	10	6	7	3	2	4	0	2	21	73	131	89	0
Zotu101	0	0	212	0	0	504	0	34	0	0	0	289	0	0	0	28	225	0	1734	0	0	28	0	0	0	323	56	21	177	16	21	1	0	0	0	82	240	0	0	0
Zotu1012	0	0	2	0	0	2	32	24	0	2	0	20	0	0	0	19	119	0	17	21	0	6	0	22	0	5	117	24	1	3	0	0	4	0	0	11	25	26	0	0
Zotu1014	0	0	0	0	1	1	0	10	0	0	0	56	0	0	27	5	95	0	0	0	194	0	9	7	0	20	0	0	0	19	0	0	2	0	0	0	0	0	0	0
