representative,taxID,id_method,taxon,rank,score,kingdom,phylum,class,order,family,genus,species,path,scores,reason,NNtaxID,NNtaxon,NNrank,NNdistance
Zotu1,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.158
Zotu2,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+19,ddddddddddddcddddddd,2,721803,Tyrrheniberus villicus,species,0.1217
Zotu3,2759,insect,Eukaryota,superkingdom,0.7603,,,,,,,,1.11222E+19,dddddddddddddddddddL,2,1736779,Californiconus californicus,species,0.1523
Zotu4,33634,insect,Stramenopiles,no rank,0.9995,,,,,,,,1.11222E+14,ddddddddddddddd,2,502953,Turritopsis nutricula,species,0.1327
Zotu5,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,1.11111E+23,dddddddddcdd_ddcdddadddd,2,753417,Pseudoips prasinanus,species,0.1344
Zotu6,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1086776,Pipunculus hertzogi,species,0.1515
Zotu7,2759,insect,Eukaryota,superkingdom,0.7603,,,,,,,,1.11222E+19,dddddddddddddddddddL,2,586894,Hynobius yangi,species,0.1506
Zotu8,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,508943,Morula spinosa,species,0.1392
Zotu9,33634,insect,Stramenopiles,no rank,0.7623,,,,,,,,1.11222E+14,dddddddddddddYL,2,999276,Pleuroloba quoyi,species,0.1205
Zotu10,2759,insect,Eukaryota,superkingdom,0.7333,,,,,,,,1.11222E+19,dddddddddddcdddddcdI,2,1586597,Ischnodes sanguinicollis,species,0.1531
Zotu11,2759,insect,Eukaryota,superkingdom,0.9998,,,,,,,,1.11222E+20,dddddddbdddDdddddcdQd,2,319488,Austrocochlea diminuta,species,0.1458
Zotu12,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+19,dddddddddddddddddddd,2,508921,Drupella margariticola,species,0.1287
Zotu13,2759,insect,Eukaryota,superkingdom,0.8358,,,,,,,,1.11222E+15,ddddcdddddddcddT,2,1140938,Omiodes martyralis,species,0.0993
Zotu14,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,196966,Afrolittorina acutispira,species,0.1148
Zotu15,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.1555
Zotu16,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddadddd,2,299206,Leucocryptos marina,species,0.1246
Zotu17,2759,insect,Eukaryota,superkingdom,0.9995,,,,,,,,1.11222E+15,ddddddddddcddddd,2,4783,Phytophthora,genus,0.1295
Zotu18,41953,insect,Pseudo-nitzschia,genus,1,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,1.11222E+17,ddddddddddddddddd],2,1664502,Pseudo-nitzschia sabit,species,0.0757
Zotu19,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,222802,Cephus pygmeus,species,0.1213
Zotu20,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd]dd,2,1237361,Mesospora schmidtii,species,0.1368
Zotu21,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+22,dddddddddOddcdddd`ddCdd,2,1587122,Cantharis cryptica,species,0.1726
Zotu22,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,196966,Afrolittorina acutispira,species,0.114
Zotu23,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+19,dddddddddddddddddddd,2,13608,Mantoniella squamata,species,0.0676
Zotu24,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.1572
Zotu25,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+21,dddddddddddddddddddddd,2,396356,Laomedea angulata,species,0.1575
Zotu26,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.1539
Zotu27,33634,insect,Stramenopiles,no rank,0.9995,,,,,,,,1.11222E+14,ddddddddddddddd,2,502953,Turritopsis nutricula,species,0.1295
Zotu28,2759,insect,Eukaryota,superkingdom,0.9999,,,,,,,,1.11222E+18,ddddddddddddddddddd,2,1882182,Montenegrina subcristata,species,0.149
Zotu29,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,144805,Anillochlamys bueni,species,0.1441
Zotu30,3041,insect,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,,1.11222E+18,dddddddddddddcddddd,2,1764295,Chloropicon primus,species,0.1059
Zotu31,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+20,ddddddddddddddddddddd,2,1632002,Orotettix andeanus,species,0.1287
Zotu32,1,insect,root,no rank,1,,,,,,,,,,2,473954,Conasprella orbignyi,species,0.1862
Zotu33,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd]dd,2,516948,Vaccinium oxycoccos,species,0.1287
Zotu34,2759,insect,Eukaryota,superkingdom,0.9968,,,,,,,,1.11222E+15,dddddddddddddddd,2,1077460,Terebra succincta,species,0.1181
Zotu35,2759,insect,Eukaryota,superkingdom,0.9726,,,,,,,,1.11222E+15,ddddddddddddYdda,2,1196840,Helicogorgia flagellata,species,0.1331
Zotu36,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,305493,Eucheuma denticulatum,species,0.1392
Zotu37,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,6819,Euphausia superba,species,0.1683
Zotu38,2759,insect,Eukaryota,superkingdom,0.9935,,,,,,,,1.11222E+15,ddddddddddddaddc,2,133970,Anapodisma miramae,species,0.1262
Zotu39,3041,insect,Chlorophyta,phylum,0.9895,Viridiplantae,Chlorophyta,,,,,,1.11222E+19,ddddddddddddDddddTLc,2,1219187,Camrasiconops ater,species,0.1352
Zotu40,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,222802,Cephus pygmeus,species,0.1197
Zotu41,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd?bd,2,143009,Pterocladiella beachiae,species,0.1425
Zotu42,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddddddd,2,262358,Echinolittorina conspersa,species,0.1221
Zotu43,2759,insect,Eukaryota,superkingdom,0.9999,,,,,,,,1.11222E+18,ddddddddddddddddddd,2,1882182,Montenegrina subcristata,species,0.1376
Zotu44,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+18,dddddddJdddcddddddd,2,301533,Gracilaria dura,species,0.114
Zotu45,2759,insect,Eukaryota,superkingdom,0.5106,,,,,,,,1.11222E+19,ddddddddddd[ddddddd3,2,684717,Littoraria pintado pullata,subspecies,0.1327
Zotu46,2759,insect,Eukaryota,superkingdom,0.9968,,,,,,,,1.11222E+15,dddddddddddddddd,2,1906927,Chlorostoma argyrostomum,species,0.114
Zotu47,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1586597,Ischnodes sanguinicollis,species,0.1588
Zotu48,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1086776,Pipunculus hertzogi,species,0.1547
Zotu49,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddadddd,2,1337089,Manaria brevicaudata,species,0.127
Zotu50,2759,insect,Eukaryota,superkingdom,0.9861,,,,,,,,1.11222E+15,dddddddcdd?dbddc,2,160735,Plectropomus maculatus,species,0.1392
Zotu51,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,52928,Nerita albicilla,species,0.1221
Zotu52,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+15,dddddddddddd`ddd,2,362314,Pleuroxus denticulatus,species,0.1384
Zotu53,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,1.11111E+23,d\dcddddddddcdddddd`dddd,2,1555420,Athetis tenuis,species,0.1059
Zotu54,2759,insect,Eukaryota,superkingdom,0.7603,,,,,,,,1.11222E+19,dddddddddddddddddddL,2,1736779,Californiconus californicus,species,0.1661
