domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota			Pelagophyceae	Pelagomonadales		Pelagomonas	Pelagomonas calceolata	Zotu4	LCA	1	0	0	1366	3248	589	3	71	10	0	1	0	5570	1138	0	196	0	34	0	9624	68	0	43	6	104	0	3752	2274	864	2651	178	1	76	33	0	10881	11495	347	0	9	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	dropped	Zotu9	LCA	3	0	0	7	332	161	496	3362	467	1655	158	0	441	2876	7592	1706	182	45	0	457	2239	970	652	516	1289	0	229	393	658	205	1131	333	890	168	0	0	405	629	824	467	1
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	Zotu12	LCA	1	0	0	1261	0	856	0	1	73	0	0	0	1449	0	0	348	676	18	0	4170	1	0	36	2	255	0	1667	4949	234	1732	147	195	0	39	0	4419	5660	131	326	4	1
Eukaryota			Pelagophyceae	Pelagomonadales		Pelagomonas	Pelagomonas calceolata	Zotu27	LCA	1	0	0	438	7	0	1107	0	3	0	0	0	3992	1755	0	1	105	74	0	799	0	61	35	0	0	0	1007	490	319	1536	36	0	0	13	0	645	1914	437	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon sieburthii	Zotu30	LCA	1	0	0	13	1140	0	0	343	248	0	0	0	439	3	6631	0	21	196	0	76	4722	0	374	1	362	0	184	33	395	0	249	0	0	46	0	56	1030	60	0	0	0
Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	dropped	Zotu56	LCA	5	0	0	7147	0	0	0	42	37	0	198	0	0	0	0	0	0	22	0	17	0	0	0	10	188	0	0	0	0	0	35	0	871	36	0	0	154	0	0	6	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Bestiolina	Bestiolina similis	Zotu78	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4045	0	0	103	0	230	0	0	0	9	0	0	1	0	0	0	1	343	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon sieburthii	Zotu84	LCA	1	0	0	1	0	0	0	0	36	0	0	0	48	810	2771	104	0	402	0	0	0	0	0	0	208	0	14	0	35	0	0	0	0	2	0	0	11	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia negligens	Zotu88	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6357	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon roscoffensis	Zotu91	LCA	1	0	0	26	1669	102	0	0	34	140	0	0	22	7	761	22	2	1	0	8	1866	0	15	42	76	0	33	51	28	4	5	0	0	9	0	0	231	26	0	0	0
