OTU,new_name,level,qualifier,qualifier_level
Zotu31,Hydrozoa,class,,
Zotu120,Pyrosomata,order,,
Zotu128,Bacteria,domain,,
Zotu149,Bacteria,domain,,
Zotu185,Bacteria,domain,,
Zotu210,Metazoa,kingdom,,
Zotu217,Bacteria,domain,,
Zotu220,Bacteria,domain,,
Zotu274,Bacteria,domain,,
Zotu296,Bacteria,domain,,
Zotu341,Bacteria,domain,,
Zotu384,Bacteria,domain,,
Zotu446,Bacteria,domain,,
Zotu462,Bacteria,domain,,
Zotu483,Bacteria,domain,,
Zotu528,Bacteria,domain,,
Zotu539,Bacteria,domain,,
Zotu543,Metazoa,kingdom,,
Zotu557,Bacteria,domain,,
Zotu570,Bacteria,domain,,
Zotu600,Bacteria,domain,,
Zotu608,Metazoa,kingdom,,
Zotu622,Bacteria,domain,,
Zotu656,Bacteria,domain,,
Zotu676,Bacteria,domain,,
Zotu678,Bacteria,domain,,
Zotu755,Bacteria,domain,,
Zotu756,Bacteria,domain,,
Zotu808,Proteobacteria,phylum,,
Zotu812,Bacteria,domain,,
Zotu951,Hexanauplia,class,,
Zotu996,Bacteria,domain,,
Zotu1088,Hexanauplia,class,,
Zotu1160,Florideophyceae,class,,
Zotu1201,Monostilifera,order,,
Zotu1281,Cyclopoida,order,,
Zotu1319,Bacteria,domain,,
Zotu1386,Diptera,order,,
Zotu1504,Calanoida,order,,
Zotu1607,Bacteria,domain,,
Zotu1650,Demospongiae,class,,
Zotu1653,Aplysinidae,family,,
Zotu1661,Bacteria,domain,,
Zotu1683,Arthropoda,phylum,,
Zotu1700,Bacteria,domain,,
Zotu1707,Homosclerophorida,order,,
Zotu1750,Bacteria,domain,,
Zotu1823,Arthropoda,phylum,,
Zotu1870,Rhodophyta,phylum,,
Zotu1881,Bacteria,domain,,
Zotu1947,Anthoathecata,order,,
Zotu1996,Bacteria,domain,,
Zotu2010,Bacteria,domain,,
Zotu2014,Bacteria,domain,,
Zotu2038,Bacteria,domain,,
Zotu2041,Eukaryota,domain,,
Zotu2042,Bacteria,domain,,
Zotu2097,Arthropoda,phylum,,
Zotu2116,Bacteria,domain,,
Zotu2130,Bacteria,domain,,
Zotu2132,Antipathidae,family,,
Zotu2137,Bacteria,domain,,
Zotu2241,Polynoidae,family,,
Zotu2271,Bacteria,domain,,
Zotu2358,Aplysinidae,family,,
Zotu2397,Bacteria,domain,,
Zotu2472,Metazoa,kingdom,,
Zotu2490,Bacteria,domain,,
Zotu2533,Bacteria,domain,,
Zotu2568,Chordariaceae,family,,
Zotu2596,Gastropoda,class,,
Zotu2621,Insecta,class,,
Zotu2648,Bacteria,domain,,
Zotu2649,Bacteria,domain,,
Zotu2695,Bacteria,domain,,
Zotu2725,Bacteria,domain,,
Zotu2741,Bacteria,domain,,
Zotu2755,Bacteria,domain,,
Zotu2780,Arthropoda,phylum,,
Zotu2821,Bacteria,domain,,
Zotu2849,Bacteria,domain,,
Zotu2863,Insecta,class,,
Zotu2874,Metazoa,kingdom,,
Zotu2905,Bacteria,domain,,
Zotu2908,Bacteria,domain,,
Zotu2960,Bacteria,domain,,
Zotu2962,Calanoida,order,,
Zotu3010,Metazoa,kingdom,,
Zotu3019,Phaeophyceae,class,,
Zotu3058,Bacteria,domain,,
Zotu3076,Bacteria,domain,,
Zotu3149,Bacteria,domain,,
Zotu3171,Bacteria,domain,,
Zotu3266,Phaeophyceae,class,,
Zotu3282,Bacteria,domain,,
Zotu3298,Bacteria,domain,,
Zotu3316,Bacteria,domain,,
Zotu3342,Hydrozoa,class,,
Zotu3366,Bacteria,domain,,
Zotu3384,Bacteria,domain,,
Zotu3452,Metazoa,kingdom,,
Zotu3591,Demospongiae,class,,
Zotu3596,Demospongiae,class,,
Zotu3679,Bacteria,domain,,
Zotu3682,Bacteria,domain,,
Zotu3712,Bacteria,domain,,
Zotu3723,Bacteria,domain,,
Zotu3777,Eukaryota,domain,,
Zotu3839,Arthropoda,phylum,,
Zotu3875,Eukaryota,domain,,
Zotu3910,Florideophyceae,class,,
Zotu3948,Bacteria,domain,,
Zotu3967,Bacteria,domain,,
Zotu3996,Bacteria,domain,,
Zotu4014,Bacteria,domain,,
Zotu4033,Metazoa,kingdom,,
Zotu4034,Bacteria,domain,,
Zotu4149,Bacteria,domain,,
Zotu4151,Metazoa,kingdom,,
Zotu4176,Bacteria,domain,,
Zotu4240,Metazoa,kingdom,,
Zotu4263,Eukaryota,domain,,
Zotu4275,Arthropoda,phylum,,
Zotu4335,Bacteria,domain,,
Zotu4337,Hydrozoa,class,,
Zotu4392,Bacteria,domain,,
Zotu4396,Eukaryota,domain,,
Zotu4412,Bacteria,domain,,
Zotu4442,Bacteria,domain,,
Zotu4456,Bacteria,domain,,
Zotu4468,Chondrichthyes,class,,
Zotu4472,Bacteria,domain,,
Zotu4511,Bacteria,domain,,
Zotu4599,Bacteria,domain,,
Zotu4613,Arthropoda,phylum,,
Zotu4627,Eukaryota,domain,,
Zotu4651,Bacteria,domain,,
Zotu4663,Metazoa,kingdom,,
Zotu4746,Bacteria,domain,,
Zotu4750,Bacteria,domain,,
Zotu4852,Bacteria,domain,,
Zotu4868,Bacteria,domain,,
Zotu4870,Bacteria,domain,,
Zotu4973,Bacteria,domain,,
Zotu5015,Bacteria,domain,,
Zotu5133,Bacteria,domain,,
Zotu5173,Arthropoda,phylum,,
Zotu5187,Metazoa,kingdom,,
Zotu5195,Bacteria,domain,,
Zotu5209,Florideophyceae,class,,
Zotu5223,Calanoida,order,,
Zotu5271,Calanoida,order,,
Zotu5278,Metazoa,kingdom,,
Zotu5333,Bacteria,domain,,
Zotu5338,Bacteria,domain,,
Zotu5354,Bacteria,domain,,
Zotu5360,Arthropoda,phylum,,
Zotu5398,Arthropoda,phylum,,
Zotu5483,Demospongiae,class,,
Zotu5490,Arthropoda,phylum,,
Zotu5491,Bacteria,domain,,
Zotu5540,Bacteria,domain,,
Zotu5555,Bacteria,domain,,
Zotu5573,Metazoa,kingdom,,
Zotu5594,Calanoida,order,,
Zotu5626,Bacteria,domain,,
Zotu5647,Bacteria,domain,,
Zotu5695,Bacteria,domain,,
Zotu5739,Eukaryota,domain,,
Zotu5801,Bacteria,domain,,
Zotu5811,Bacteria,domain,,
Zotu5826,Metazoa,kingdom,,
Zotu5871,Arthropoda,phylum,,
Zotu5913,Bacteria,domain,,
Zotu5939,Bacteria,domain,,
Zotu6048,Bacteria,domain,,
Zotu6111,Bacteria,domain,,
Zotu6127,Bacteria,domain,,
Zotu6134,Bacteria,domain,,
Zotu6162,Metazoa,kingdom,,
Zotu6167,Bacteria,domain,,
Zotu6174,Bacteria,domain,,
Zotu6207,Arthropoda,phylum,,
Zotu6271,Bacteria,domain,,
Zotu6336,Calanoida,order,,
Zotu6410,Eukaryota,domain,,
Zotu6484,Bacteria,domain,,
Zotu6542,Bacteria,domain,,
Zotu6572,Bacteria,domain,,
Zotu6585,Demospongiae,class,,
Zotu6593,Bacteria,domain,,
Zotu6604,Bacteria,domain,,
Zotu6679,Bacteria,domain,,
Zotu6781,Bacteria,domain,,
Zotu6895,Demospongiae,class,,
Zotu6918,Bacteria,domain,,
Zotu6959,Metazoa,kingdom,,
Zotu7009,Rhodophyta,phylum,,
Zotu7080,Bacteria,domain,,
Zotu7099,Hydrozoa,class,,
Zotu7130,Arthropoda,phylum,,
Zotu7157,Arthropoda,phylum,,
Zotu7396,Bacteria,domain,,
Zotu7399,Ectocarpales,order,,
Zotu7460,Bacteria,domain,,
Zotu7575,Eukaryota,domain,,
Zotu7727,Bacteria,domain,,
Zotu7852,Bacteria,domain,,
